"Anatomical Strucures, Cell Types and Biomarkers Table for brain v1.0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,07/15/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,striatum,striatum,UBERON:0002435,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,segmental subdivision of hindbrain,segmental subdivision of hindbrain,UBERON:0004733,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,hindbrain commissure,hindbrain commissure,UBERON:0034763,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular zone,ventricular zone,UBERON:0003053,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,globus pallidus,globus pallidus,UBERON:0001875,ventral pallidum,ventral pallidum,UBERON:0002778,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,vestibulocerebellum,vestibulocerebellum,UBERON:0014642,flocculonodular lobe,flocculonodular lobe,UBERON:0003012,cerebellum vermis lobule IX,cerebellum vermis lobule IX,UBERON:0004078,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,brain ventricle,brain ventricle,UBERON:0004086,choroid plexus,choroid plexus,UBERON:0001886,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,brain ventricle,brain ventricle,UBERON:0004086,choroid plexus,choroid plexus,UBERON:0001886,choroid plexus vascular circuit,choroid plexus vascular circuit,UBERON:2005219,trans-choroid plexus branch,trans-choroid plexus branch,UBERON:2005248,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,granular eminence,granular eminence,UBERON:2000212,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,fourth ventricle,fourth ventricle,UBERON:0002422,choroid plexus of fourth ventricle,choroid plexus of fourth ventricle,UBERON:0002290,fourth ventricle choroid plexus epithelium,fourth ventricle choroid plexus epithelium,UBERON:0004276,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,gross anatomical parts of the cerebellum,gross anatomical parts of the cerebellum,UBERON:0023836,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,fourth ventricle,fourth ventricle,UBERON:0002422,sulcus limitans of fourth ventricle,sulcus limitans of fourth ventricle,UBERON:0009573,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,caudate nucleus,caudate nucleus,UBERON:0001873,body of caudate nucleus,body of caudate nucleus,UBERON:0002630,,,,,,,,,
brain,brain,UBERON:0000955,supraesophageal ganglion,supraesophageal ganglion,UBERON:6003626,protocerebrum,protocerebrum,UBERON:6003627,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,brain marginal zone,brain marginal zone,UBERON:0010403,cerebral cortex marginal layer,cerebral cortex marginal layer,UBERON:0014935,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,future metencephalon,future metencephalon,UBERON:0010092,metencephalon sulcus limitans,metencephalon sulcus limitans,UBERON:0009577,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,valvula cerebelli,valvula cerebelli,UBERON:2000603,granular layer valvula cerebelli,granular layer valvula cerebelli,UBERON:2000766,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,brain ventricle,brain ventricle,UBERON:0004086,choroid plexus,choroid plexus,UBERON:0001886,choroid plexus corpora arenacea,choroid plexus corpora arenacea,UBERON:0017633,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,striatum,striatum,UBERON:0002435,dorsal striatum,dorsal striatum,UBERON:0005382,caudate-putamen,caudate-putamen,UBERON:0005383,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,substantia nigra,substantia nigra,UBERON:0002038,substantia nigra pars lateralis,substantia nigra pars lateralis,UBERON:0002995,,,,,,,,,,,,
brain,brain,UBERON:0000955,brain gray matter,brain gray matter,UBERON:0003528,nucleus of brain,nucleus of brain,UBERON:0002308,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,corpus cerebelli,corpus cerebelli,UBERON:2000188,Purkinje cell layer corpus cerebelli,Purkinje cell layer corpus cerebelli,UBERON:2002240,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,brain ventricle/choroid plexus,brain ventricle/choroid plexus,UBERON:0003947,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,cerebellar cortex,cerebellar cortex,UBERON:0002129,cerebellar vermis,cerebellar vermis,UBERON:0004720,cerebellum vermis lobule,cerebellum vermis lobule,UBERON:0004070,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,globus pallidus,globus pallidus,UBERON:0001875,ventral pallidum,ventral pallidum,UBERON:0002778,substantia innominata,substantia innominata,UBERON:0003017,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,caudate nucleus,caudate nucleus,UBERON:0001873,body of caudate nucleus,body of caudate nucleus,UBERON:0002630,striosomal part of body of caudate nucleus,striosomal part of body of caudate nucleus,UBERON:0027244,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,cerebellum,cerebellum,UBERON:0002037,valvula cerebelli,valvula cerebelli,UBERON:2000603,Purkinje cell layer valvula cerebelli,Purkinje cell layer valvula cerebelli,UBERON:2002241,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,subarachnoid space,subarachnoid space,UBERON:0000315,,,,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,lentiform nucleus,lentiform nucleus,UBERON:0002263,,,,,,,,,,,,
brain,brain,UBERON:0000955,subarachnoid space,subarachnoid space,UBERON:0000315,subarachnoid fissure,subarachnoid fissure,UBERON:0014466,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,striatum,striatum,UBERON:0002435,dorsal striatum,dorsal striatum,UBERON:0005382,caudate-putamen,caudate-putamen,UBERON:0005383,putamen,putamen,UBERON:0001874,matrix compartment of putamen,matrix compartment of putamen,UBERON:0029002
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,caudate nucleus,caudate nucleus,UBERON:0001873,matrix compartment of caudate nucleus,matrix compartment of caudate nucleus,UBERON:0029001,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,medullary command nucleus,medullary command nucleus,UBERON:2002107,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,hindbrain,hindbrain,UBERON:0002028,white matter of hindbrain,white matter of hindbrain,UBERON:0019258,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,ventricular system of brain,ventricular system of brain,UBERON:0005282,brain ventricle,brain ventricle,UBERON:0004086,,,,,,,,,,,,,,,,,,,,,
brain,brain,UBERON:0000955,cerebral subcortex,cerebral subcortex,UBERON:0000454,collection of basal ganglia,collection of basal ganglia,UBERON:0010011,basal ganglion,basal ganglion,UBERON:0002420,corpus striatum,corpus striatum,UBERON:0000369,caudate nucleus,caudate nucleus,UBERON:0001873,head of caudate nucleus,head of caudate nucleus,UBERON:0002626,matrix part of head of caudate nucleus,matrix part of head of caudate nucleus,UBERON:0027245,,,,,,
brain,brain,UBERON:0000955,brain meninx,brain meninx,UBERON:0003547,,,,,,,,,,,,,,,,,,,,,,,,
